R,G,B,Label
0.6223717647058824,0.46397058823529413,0.4356537254901961,eksim
0.5524494117647059,0.4198521568627451,0.39785372549019604,eksim
0.38626392156862743,0.25310352941176467,0.2372007843137255,eksim
0.45309372549019605,0.3438682352941177,0.3180164705882353,eksim
0.754032156862745,0.5405058823529412,0.4967552941176471,eksim
0.4811192156862745,0.3932650980392157,0.3877709803921569,eksim
0.5205478431372549,0.40798470588235297,0.44179882352941174,eksim
0.37249882352941177,0.2872227450980392,0.2849176470588235,eksim
0.5131611764705882,0.3153309803921569,0.23670745098039214,eksim
0.5639525490196078,0.41792392156862745,0.3843796078431373,eksim
0.6819572549019608,0.5042717647058824,0.2852329411764706,eksim
0.6915529411764706,0.5731603921568628,0.4060635294117647,eksim
0.692121568627451,0.5694592156862744,0.5398513725490196,eksim
0.6130678431372549,0.43251803921568627,0.495501568627451,eksim
0.6221764705882353,0.45890745098039215,0.4375321568627451,eksim
0.6310850980392158,0.45899686274509804,0.5224286274509804,eksim
0.4052427450980392,0.271384705882353,0.26786313725490196,eksim
0.37931882352941176,0.26754078431372547,0.24910274509803923,eksim
0.3837078431372549,0.26705725490196075,0.2355827450980392,eksim
0.5292219607843138,0.4075788235294117,0.3327996078431373,eksim
0.6165525490196079,0.5362141176470588,0.44168549019607845,eksim
0.41448274509803923,0.3118698039215686,0.25549607843137256,eksim
0.5934109803921568,0.43553607843137254,0.4201113725490196,eksim
0.5343086274509804,0.4176670588235294,0.3987054901960784,eksim
0.7057611764705882,0.47382549019607845,0.4557145098039216,eksim
0.5679729411764706,0.3715572549019608,0.3466301960784314,eksim
0.5654498039215686,0.35159215686274514,0.42074235294117646,eksim
0.5010125490196079,0.38142470588235294,0.31552470588235293,eksim
0.34486392156862744,0.23749882352941176,0.24622980392156862,eksim
0.5548266666666666,0.3867941176470588,0.38473294117647056,eksim
0.5408486274509804,0.39208705882352946,0.4028035294117647,eksim
0.28397176470588237,0.18496509803921568,0.1660564705882353,eksim
0.5547698039215686,0.4264149019607843,0.3032094117647059,eksim
0.31083607843137256,0.21477725490196078,0.1649835294117647,eksim
0.5476654901960784,0.41027176470588234,0.39760745098039213,eksim
0.47636352941176474,0.34462470588235294,0.3475960784313725,eksim
0.5002239215686275,0.3643921568627451,0.3513050980392157,eksim
0.5475588235294118,0.39816313725490193,0.3837227450980392,eksim
0.4750513725490196,0.3793721568627451,0.35264980392156864,eksim
0.47621019607843135,0.3667764705882353,0.34426156862745094,eksim
0.5428356862745098,0.4573988235294118,0.4329372549019608,eksim
0.6124898039215686,0.482938431372549,0.4559607843137255,eksim
0.6342,0.44576000000000005,0.4291992156862745,eksim
0.3236250980392157,0.21936039215686276,0.2153627450980392,eksim
0.39484,0.24993725490196078,0.2035278431372549,eksim
0.734715294117647,0.5368254901960784,0.533364705882353,eksim
0.6985039215686275,0.453976862745098,0.3940698039215686,eksim
0.5460611764705883,0.47323450980392157,0.461861568627451,eksim
0.41981098039215686,0.31525333333333333,0.25274392156862746,eksim
0.4055329411764706,0.2796407843137255,0.23986901960784315,eksim
0.3503650980392157,0.26790901960784314,0.22198117647058824,eksim
0.5148960784313725,0.4107164705882353,0.3921913725490196,eksim
0.41707215686274507,0.30659254901960786,0.25703254901960787,eksim
0.36374862745098036,0.26762705882352944,0.2728188235294117,eksim
0.4939541176470588,0.39652470588235295,0.35895176470588236,eksim
0.3783513725490196,0.2755043137254902,0.21987960784313726,eksim
0.5220086274509804,0.3936160784313726,0.3308654901960784,eksim
0.5783054901960784,0.4458960784313726,0.37238000000000004,eksim
0.4919882352941176,0.35551960784313724,0.2972152941176471,eksim
0.5647541176470589,0.43030588235294115,0.43438745098039216,eksim
0.3237603921568627,0.2128929411764706,0.23828156862745098,eksim
0.45517725490196076,0.31355098039215684,0.31895843137254903,eksim
0.5017521568627451,0.3987894117647059,0.3918564705882353,eksim
0.45993960784313725,0.33913647058823526,0.2800447058823529,eksim
0.7857356862745097,0.5959678431372549,0.49347254901960785,kudis
0.8088490196078431,0.6259533333333334,0.5489125490196078,kudis
0.7857356862745097,0.5959678431372549,0.49347254901960785,kudis
0.8611701960784314,0.7275411764705882,0.6633270588235295,kudis
0.6311572549019607,0.5512462745098039,0.5097113725490197,kudis
0.5464325490196079,0.4604560784313726,0.4071254901960784,kudis
0.8111584313725491,0.4788749019607843,0.39421254901960784,kudis
0.7146078431372549,0.46509921568627455,0.3496490196078431,kudis
0.687584705882353,0.503413725490196,0.4618686274509804,kudis
0.8715803921568627,0.7279537254901961,0.6567682352941177,kudis
0.6690396078431372,0.5423713725490196,0.5102309803921569,kudis
0.641381568627451,0.5014160784313725,0.4684007843137255,kudis
0.7538117647058824,0.5405403921568627,0.5527964705882353,kudis
0.8325470588235294,0.6485874509803922,0.5915862745098039,kudis
0.6747745098039215,0.5407729411764706,0.4388447058823529,kudis
0.6548615686274509,0.5525839215686275,0.45900117647058825,kudis
0.8404611764705883,0.6786592156862745,0.5491458823529412,kudis
0.8023262745098039,0.57234,0.4793176470588235,kudis
0.5424764705882353,0.40463176470588236,0.32499254901960783,kudis
0.8881827450980393,0.5637643137254902,0.49811803921568626,kudis
0.5816807843137255,0.40712196078431373,0.33614823529411764,kudis
0.8108760784313725,0.5707286274509804,0.46654823529411765,kudis
0.5778913725490197,0.49043333333333333,0.5155360784313726,kudis
0.6075682352941176,0.4733356862745098,0.4414003921568628,kudis
0.7511843137254902,0.5816709803921568,0.5091368627450981,kudis
0.8139843137254902,0.5684035294117648,0.4784964705882353,kudis
0.8093470588235294,0.5621760784313725,0.47084901960784314,kudis
0.7395501960784313,0.5826984313725491,0.5060356862745098,kudis
0.8072450980392156,0.5692121568627451,0.5005760784313725,kudis
0.8443639215686275,0.7125729411764705,0.6333498039215686,kudis
0.7839443137254902,0.4996349019607843,0.4610294117647059,kudis
0.6179549019607843,0.5174956862745098,0.46926078431372553,kudis
0.906636862745098,0.7177439215686274,0.6179631372549019,kudis
0.6184211764705881,0.5156423529411764,0.4583635294117647,kudis
0.8657054901960785,0.6511199999999999,0.5493180392156862,kudis
0.6741341176470589,0.5756764705882353,0.49567686274509803,kudis
0.693561568627451,0.5538521568627451,0.4957533333333334,kudis
0.6035560784313726,0.45278117647058824,0.34629058823529413,kudis
0.7920572549019608,0.6156749019607842,0.493741568627451,kudis
0.644218431372549,0.52212,0.486716862745098,kudis
0.4588741176470588,0.3307847058823529,0.2702572549019608,kudis
0.7227807843137255,0.5710376470588235,0.5175388235294117,kudis
0.5901639215686275,0.45045294117647056,0.3926121568627451,kudis
0.6507509803921568,0.5342792156862745,0.49430235294117647,kudis
0.8765203921568627,0.6932003921568627,0.6286870588235294,kudis
0.7656482352941176,0.6458294117647059,0.5624266666666666,kudis
0.7711980392156862,0.4799023529411765,0.3084807843137255,kudis
0.65198,0.4804423529411765,0.3655952941176471,kudis
0.6703223529411765,0.6054501960784314,0.5728725490196079,kudis
0.8055643137254902,0.5899447058823529,0.5095376470588235,kudis
0.771556862745098,0.6168698039215685,0.5279137254901961,kudis
0.9232027450980392,0.7395239215686275,0.7056588235294118,kudis
0.7228580392156863,0.5243901960784314,0.4210027450980392,kudis
0.6632937254901962,0.5214827450980393,0.30275568627450977,kudis
0.5523360784313726,0.48293019607843135,0.5232058823529412,kudis
0.7905525490196078,0.6009941176470588,0.46997215686274507,kudis
0.8510509803921569,0.6237039215686274,0.5229737254901962,kudis
0.7427956862745099,0.5501564705882352,0.4189749019607843,kudis
0.6701443137254902,0.5444650980392157,0.5136125490196078,kudis
0.5690725490196078,0.42934078431372547,0.3862776470588235,kudis
0.7058870588235294,0.598801568627451,0.5299847058823529,kudis
0.7550086274509804,0.5991274509803922,0.5731345098039217,kudis
0.6444301960784313,0.4932721568627451,0.4411262745098039,kudis
